title,year,certificate,runtime,genre,rating,image
Yashoda,2022,UA,135 min,"Action, Sci-Fi, Thriller            ",7.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8BoyQ76Ffgvk_5Xg8VJerICN324Pgbeh96-KOgR5EOWrSW8Zbfq7PwjvUvKk&s
DAMaN,2022,UA,121 min,"Adventure, Biography, Drama            ",9.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYHkQUNadSGWtR13NwSQBsGKFTW5X74dsJVvtfZ8dDgSDX0LzW2Cw6jmin41k&s
Dhokha: Round D Corner,2022,A,122 min,"Crime, Thriller            ",6.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjx-r_oHIgETDgsDL3au17dhI1dobHe_ZvXetuOfmllFIHQneZXNQaSYUA6g&s
Godfather,2022,UA,157 min,"Action, Crime, Drama            ",5.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkeejJOmx2EroZu9fgN5Z0mpSMZ0Q8yzOg5S0l_0UND9U3wXQ2rTZq2GK4q4w&s
The Help,2011,UA,146 min,Drama            ,8.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSw-FFdLAUCbzeaiKzUGIRzQhiIzOrIQyhtRB0Nup7MQds-FtEJc32PgONAZnI&s
Ram Setu,2022,UA,140 min,"Action, Adventure            ",5.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRegXxHB0Uef1RrhZ04Fvnx76kR9rMCuiIwrOOTPHeznCRoURoecXCrCC1Pes8&s
Raksha Bandhan,2022,U,108 min,"Comedy, Drama, Family            ",5.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrdY-nwAr7_aNTA51w7ZIUzv23J8von6ZKVd7WiXyk8H7pEK3jijPMCxY4cA&s
The Happening,2008,UA,91 min,"Adventure, Drama, Sci-Fi            ",5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzRRGfjrp93n2QZeVUo5_n4aJSzUoHl93RSp64YNm1mKsvLNWiQ_v95ZbEDg&s
3 Idiots,2009,UA,170 min,"Comedy, Drama            ",8.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv2pwHgq3hhPvtIj2hr7RA2R9EhNJxML3TOMFaybt_pTeYB-aYNaZlknlSPA&s
HIT: The 2nd Case,2022,A,150 min,"Action, Crime, Drama            ",7.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3dQxxas3xm0c7sA2gteFpRBzvswYQp9RRNeDFDXOynggd-RUeBzqGmkRZUA&s
Drishyam,2015,UA,163 min,"Crime, Drama, Mystery            ",8.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKs1IZsceKNQsEv2U20ghX6cjXK3p-y2h7sgd8Ap0Xxm130hwaL1a7fAE2PNs&s
