title,year,certificate,runtime,genre,rating,image
Hum Log,1984–1985,Not Rated,50 min,Family            ,7.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQPrp4W0atBJhID1mr_1KvK7jYt5gCGlAGxOSLYE0LFQ1XWxvdCE5lMw3QUA&s
Out of Love,2019–,15+,50 min,Thriller            ,7.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWZvUrUSvLpvPOMNmMuSAIoM0YIzUfvB_gUzWOWQJC-YSBPfHuqncrGZFUVA&s
Aaryaman Brahmand Ka Yoddha,2002–,U,45 min,"Action, Adventure, Sci-Fi            ",8.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGChxvecWls_dqMKT4ufkYIWxKwcK0B9iPIjLfdPPAPPsnzhUPMD4I8fIWpQ&s
Praana,2019,UA,107 min,"Crime, Drama, Horror            ",4.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNIEwIgCof5wi4zWq0C0AAk6e_PIyZ13dWZIwnxq7IPEfuyQs0UA_XTKjmHIg&s
Amar Prem,1972,U,143 min,"Drama, Musical, Romance            ",7.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRM32U2oDixrq9_ruRaFoHJVpRXbVK4nNH0mtU9jAxH4yt-TIRYG17fzSZsS2s&s
Hatyapuri,2022,U,122 min,"Adventure, Drama, Mystery            ",6.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD-rKcVpdvUjXZicjIo9ZyiZ6i-MZxkTOIkhw71vusC1uDX54jZTt1MkU1rQ&s
Drive,I 2019,A,147 min,"Action, Crime, Thriller            ",7.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYV8GoAPZGjCiay7HFGg5UrLa2OpUkr0Ue1P8qkzne2L3aGuRyWx4JfUMDw&s
Tagaru,2018,A,129 min,"Action, Crime            ",7.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRL_yUSe5ozUx2Ba5ZQTAYeRzat9BQi0sJlZkwsiDzQcZ-dY1d2cYWSDZ_Tg&s
Kuttram Kuttrame,2022,UA,107 min,"Action, Drama            ",6.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThnpVSWl7plzFLPVUm261ahy_LGCDpDRHkbepcLBsSjP2n29_FT-o2bRTsRQ&s
Ghani,2022,UA,151 min,"Action, Drama, Sport            ",6.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6kQ2xsHHWUMQ31Xm-z6l9BBOXdFLYZLIoZd3klhxGugX-NddxXCLZnfRMFg&s
Gumnaam,1965,A,151 min,"Drama, Mystery, Thriller            ",5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREMCydYvsgDteE-zSPvSSwqLMBNJDyiJgw_z0n4qHm_oma5ZQISW_9etI5vak&s
Ajagajantharam,2021,UA,122 min,"Action, Comedy            ",6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfOpvkWGhx_k8duK7M0lGtBH6s6PShF4CiCeBN6dUdAPIfCIu3EyPJ4Mri9xs&s
Dulhe Raja,1998,U,143 min,Comedy            ,6.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3JrtmI1G_2IEshGFX6-ySPsnyHeTXNIbejIika5b5YqgninrD4Jiy1MuvKQ&s
Entertainment,2014,UA,140 min,"Action, Comedy, Drama            ",6.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRu4vIPVacfCtkLD-JDhE_iqz6UoLKNsIs-ssuVKvsT_b5n59NrchQht5lD21s&s
Uppena,2021,UA,147 min,"Action, Drama, Romance            ",8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIQTVwmFyVrQhTdagmG3cBh2AcoJhD1ud9oF0a2WjuoXmMC8xliQEnpJfpKA&s
Ek Chhotisi Love Story,2002,A,122 min,Drama            ,5.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8St2G21gsFFe_HvgjwnBJFpFRy6trR9Y-EklFldInFEjku6WcOKpfl65gzE8&s
Mathu Vadalara,I 2019,UA,130 min,"Comedy, Crime, Thriller            ",7.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQo6fil36A-xBIRzzmvcz9w0Mn48ZRwcQO8S-9N3rv3cm9AlGKqoRpwUkYI__4&s
Jeet,1996,UA,180 min,"Action, Romance            ",4.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCxDSE4FCvYOmu-VFFR-2JdlyVMijMfpf2LZNtTWGYm-eUWZkvJPjUz5Ogxw&s
Irai,2022–,UA 16+,47 min,"Action, Crime, Drama            ",7.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB_qQU__5gcIchq5dofCWnUGqTscR4_BC1Y2pj5TmE1fj3267dObVlaYl13RM&s
Jewel Thief,1967,U,186 min,"Crime, Drama, Musical            ",4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTI8uIzPe-uHbz0WqhMScqFmsrztC4SUP4lzI9v3uYiDVp0DO6Ju6p62uDh63k&s
Kuruvi,2008,UA,150 min,"Action, Comedy, Drama            ",7.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTw6HXhQ9pWDDq67bIkOpII8_MqsOc-pAAu9dBxgbaoO7GpjFDeOtDraM3NhA&s
Vishwaroopam,2013,UA,148 min,"Action, Thriller            ",7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGil9ja6ATTErbW7cMHooJ4WAwwj3xqxtgOT6ju6xMKPf3KrAGXNfDzsqbCA&s
Ragini MMS Returns,2017–,18+,40 min,Horror            ,4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVkTzg6CXoNAlbSQxYsdXRNGEdw8y6pz7XohRfxhDbbMQWr0OA2WGRv1_QNaU&s
Parmanu: The Story of Pokhran,2018,U,129 min,"Action, Drama, History            ",7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqmjAY-x3IssQqMHzP9hwsGWgqaMoBeOb41vuzhrdRdr12l76ArzlWhTCDDe8&s
Netrikann,2021,A,146 min,"Crime, Drama, Mystery            ",8.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoFBknsDC2SWM1FqqYQ4l-qjPmfOo4O2kP8rdTx6V8RH_XUrQU4h3d-xxpwA&s
Saddu Vicharane Nadeyuttide,2022,UA,139 min,"Crime, Thriller            ",7.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_EPpz6VqCcz8ZX-ggwr9cqxKu8yA0hjyo1s2SJIUMz17GEPYtCuPoAlrDfug&s
That Girl in Yellow Boots,2010,A,103 min,"Crime, Drama, Mystery            ",4.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzyMUd2AmQyUSLtIxjRbQPc9QzWAwQ2756146GKQ8etQYmqsn-rVKx6x_gNg&s
D-Day,I 2013,UA,153 min,"Action, Thriller            ",6.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSM9c7QJJqheF_bgvcHY_eXuewZGpAnRzy2iM5ZowCaccIsNtxMD0BJuq2ryIs&s
Bengal Tiger,2015,UA,145 min,"Action, Comedy            ",7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdCLfN5Sr4sfbJg8FP1G9MGeiy5Pg_pCi28wnXoKcudvvabQPg8A5711WVzQ&s
Nenjam Marappathillai,2021,UA,150 min,"Horror, Thriller            ",7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjBOB0J3G1sWHZUkbvDjFhe-ORQx2ovLAeFsj2k9FA2k3yoI0vxu0-ULq3XWs&s
Raja,1995,UA,168 min,"Action, Comedy, Drama            ",2.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmnguM3ePRpRFGUmZkoZGcQXCgzEi5ez2i9ZN2LdAMaQ66B2TdYyMb5FBnsXc&s
Hostel,2022,UA,134 min,"Comedy, Drama, Horror            ",7.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOoupVul0CxRen1iJuXt_l4BL7v2gd6bCXTfvjb44FaRbGipruZ7VgKSJ-DQ&s
Dobaara: See Your Evil,2017,A,106 min,"Horror, Mystery            ",5.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiuYrZ2sH_UFkfuVUPHThiQgJ5ME-atE6gvb7XUEwys_9Mbi4ZEoGPy4utVLo&s
Nenu Sailaja,2016,UA,155 min,"Action, Comedy, Romance            ",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe4yCS5CYY6vcXmezxjRN5EvYZxHyf2j99ajvwpFtRhJvTSBkUn5OUbtbb_GM&s
Zubeidaa,2001,UA,153 min,"Biography, Drama, History            ",5.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR65_L2CP7KAh8yKF3oPBZQ68uBrJ4IdY5JCHmwLgDaCH9-ZgW2WMjXRF89Luo&s
Gandhada Gudi,1973,U,140 min,"Action, Drama, Thriller            ",9.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_kYt10eqvt6ibdDRwnBtPD6LOZPQs7gIRzQJ87seB3b1HL24rUoJ3Ep5XxNo&s
Garam Masala,2005,UA,146 min,"Comedy, Romance            ",6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuOaKzejss8wFJc6Igj7DGGDkUyQiyKJTODRTFk8H88DnhufbwJHYNWSI_Gw&s
Shareek 2,2022,UA,145 min,Drama            ,6.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR69WUaJZIdFgcm32MuZ9BfVbesEtHx4PCA1qWh9YYXFwxj4jOCijGmgg2E8g&s
Dhruva,2016,UA,165 min,"Action, Crime, Thriller            ",5.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3B6k8yo_ny28td0j_OS10OknRX12mv9cGGNDs2fvuWPxre47qaG6NAwCMdQ&s
Commitment [in],2022,A,160 min,Drama            ,9.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5pkdpjpucVWWRWBK3kjn1rG8J5Jazf_WcVZwFq1KjBN_FhlKebs_1SQNDP4Y&s
Head Bush,2022,A,138 min,"Action, Biography, Crime            ",7.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRF9pJAuHeBJ9mOdPc2f0cLLZqlpgWWsV6VgSrRMQgT_G7ahaqSErVZDgBVgKA&s
Delhi-6,2009,UA,141 min,Drama            ,7.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYf5cGHH2l-jLSkAEgMvu1SY2FtQh8hATPvg3tfECGOPtMeUeqYHfVijZclQ&s
Bloody Brothers,2022–,A,37 min,"Comedy, Crime, Thriller            ",6.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5L1JiLIibfove7mPS-siq8wMBSy7Qjz8ydSTJxEWsfOw8qya-vGDqeWyZqQ&s
Chakki,2022,UA,100 min,Drama            ,3.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKAUR53oM8ZWvLNA1beO17n75e9duIFpL4G6SCHnzTAV8n8DLRpEPcbfcrwg&s
Fraud Saiyyan,2019,A,109 min,"Comedy, Drama            ",6.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMVWSJXy31EdnZQQHC8WsxBdp7AR_cz34NllsB4uPUINoHJ30MyEbs_bJqIcE&s
Kireedam,1989,A,124 min,"Action, Drama            ",7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNvoZLx3moQS0OyVmMtnLbYNHBV2WyVABHq5DBFOUdVdiZQu4QQbJm8l_r9Q&s
Khaleja,2010,UA,170 min,"Action, Comedy, Fantasy            ",5.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGDzSzSDBUJIL5_1mwLwQ9rtg0M5vxhW7jh4dxvbzyZz7lqO6SnMa8gSjcYA&s
Veekam,2022,UA,120 min,Thriller            ,5.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTNRehneVCRKEJ62itQa7pgjcLaebCSqxXad64jkCZhgyZure2vR28c29aEA&s
Malayankunju,2022,U,114 min,"Drama, Thriller            ",3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRF8ceNFZHpmm_bGcTH_1qsY6IoMw6lJF7OKVgYLFixTc6L4t9j1rIWY8okHw&s
LOC: Kargil,2003,U,255 min,"Drama, History, War            ",3.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt8b_cvdR8oZh5BIXrnjKhAYs7GK7mfp5YpNHs6MvJfKpMN_wr3KPpaVkm1mY&s
Prahaar: The Final Attack,1991,UA,151 min,"Drama, Thriller, Action            ",6.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdEQCBWdLDPyG6UBDJpCaHWTkb88nfIPvgdVrgyBkjfjkMZ2Rq-NsKDECtSDk&s
Bluffmaster!,2005,UA,137 min,"Comedy, Crime, Drama            ",6.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQDvdSiKvP3B87pGhYQILEbM09bQd39teAmJfPkdbqyeYyg8d1rp6-vGetjA&s
Goutham Nanda,2017,UA,155 min,"Action, Drama, Thriller            ",4.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR06b2G7SJXkDhUYuMpTzQ36iK70ADPhxDC057hheYojkwqVldNWQfuEg3UTw&s
God Father,2020,UA,140 min,"Action, Drama, Thriller            ",8.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkeejJOmx2EroZu9fgN5Z0mpSMZ0Q8yzOg5S0l_0UND9U3wXQ2rTZq2GK4q4w&s
Naayak,2013,A,153 min,"Action, Drama            ",8.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgLSCuoVTHgCV67qVT4qvXC4OLwkqYPtPxqRm3wbPANo5jhscZ9snEifcZX5M&s
Bhopal: A Prayer for Rain,2014,U,96 min,Drama            ,7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHwneYiXJbSSXcowF14bonOmQ7wVjAM7y5IAT7CtFRXjYjf9wZ3Vwu5LqlHw&s
Selfie,II 2022,UA,128 min,"Crime, Thriller            ",6.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9T8U4P9LaBspkoRSF7EIHRC2YhnvzAMou4Sa3SB969xUZo5Td6Zc2nxpdfV4&s
Blackia,2019,UA,141 min,Drama            ,6.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-tR_Bby3G8rBceFAiRfI5IUf7dfKc3xTpR-Y3TSZw9ko8qcTuTGfUFz72ZA&s
Tanhaiyan,2017,UA,20 min,Romance            ,7.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8d0VmT98tzoo9g2vL8fiXxfJ0f63UreoU9cRcLlIwOy39BV35Pu8h5rgxV5I&s
Kacchey Limbu,2022,U,109 min,"Drama, Family            ",8.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB_t1IBiw97B06W9aRQ2C0w2xz2bjFKCa4xGOKIgvX--SZpIZjlK_buitSpyY&s
Mr. X,2015,UA,133 min,"Action, Crime, Drama            ",7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwqitQxIuf2YizyuifDM8ET71YwwFby9DwSiJghSx17mJsWHUHSb9PFrHlUiE&s
OK Kanmani,2015,UA,139 min,Romance            ,7.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ9tMmMqzTILC34ZP29jwZ5gx5yejyeM5jJ-c1A8RfHbFXrUQpvptQwhhEDOo&s
Bell Bottom,2019,UA,130 min,"Comedy, Drama, Thriller            ",9.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe6OyKs6gCGo8c9WG9EVeKJ5sWoMEQACqN0KWbStPgewOYAuEggMUULucZwds&s
SR Kalyanamandapam,2021,UA,160 min,"Action, Romance            ",8.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzG8EEgOrl2n7hyRQddNZmv4kUw4JV2ZWNPshjFik6jwFpUZCk9Q27tzmU8w&s
Parava,2017,UA,147 min,"Action, Comedy, Drama            ",5.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRh3kjc3shI11I_H-7pzvpnyiiqYFVgBolK6ZWuHHr0KLoCRxJpogcaYmUBwYo&s
Phillauri,2017,UA,138 min,"Comedy, Drama, Fantasy            ",5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQX2cxXBFwnUHq1zWzpAbo5mQcr43osRZsIRZlxizcQHx4K3LX5L8HYkJfjRw&s
Page 3,2005,A,139 min,Drama            ,5.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDAE2ewmBvVXZGbIB_HW0xYHRz7iRf5FH1fUQ5gzf-5QUXZf05dK9ZWqXiI74&s
Mar Dare Maya Ma,2022,U,147 min,Drama            ,6.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxsW_v5AtdwOvmAB0p1W0k2D1HbPaJfr_CDAXFQG12PHbIXGo0k4MAv-oPP9U&s
Vijay,1988,U,172 min,"Action, Drama, Romance            ",7.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgNBNnXNVcha6DAo245Gqc4stcwZOpJWLCdSsQwQM3BlVvuxVy7XHB3ly-ww&s
Coolie No. 1,1995,U,143 min,"Action, Comedy, Romance            ",8.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVPg_OiGHIcJHpy-z3YBI9z1Jtilp67O0tqzCGvI_emqajzubtTvbGG1945m8&s
Star,II 2021,U,120 min,"Fantasy, Thriller            ",6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-RwMmkxLMk3Ll8xKaLCFtLUBuXibRplyDRkqpFGyS0BdylLdRq1oK-9wpgQ&s
Dhadakebaaz,1990,U,138 min,Comedy            ,7.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8uPMT1A2kUOcCVEJIKcjIjpD_RsJsjfT4sCtSTpi-pcsXMQA3ygWFzsZBdw&s
Helicopter Eela,2018,U,135 min,Drama            ,4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXhZ4gBNCiedgR2tEe7JLqnunJoofGH0KO1UY5RkrpWPRdJ-sMcbbdfqAewQ&s
Aurangzeb,2013,UA,137 min,"Action, Drama, Thriller            ",5.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSs8XHd55G7mtBuxFTsWR3RVQuX9MfsmP0UDG2HLHLUfaE2nb7WqPWKRn1uU7M&s
Louis,II 2022,UA,119 min,Thriller            ,7.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAaoBIoqCipHfxiw89Kl_sRtOlJQPaj6cxn37-ZK8K_9zINyU979sEI9d8Rw&s
Fugly,2014,UA,129 min,"Drama, Thriller            ",2.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScBWep0rRa7EAGv_6j8jaKR6yC-9rMhquE56i_54I-V6cwdWsvo2h184LjMuk&s
Tumko Na Bhool Paayenge,2002,U,160 min,"Action, Romance, Thriller            ",7.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRa3pte9hQPN4McTcsEBP1JZXkMl9vSLJgkGe92usAvfAESJ5cHmnScJeWLIFo&s
Jatt Brothers,2022,U,135 min,"Comedy, Drama            ",9.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVjNTPM8HlZwxO79U1XbEOipkIw989ua_rN_WT7pVZY0tydWePEwHPSSsglw&s
Jagame Thandhiram,2021,18,158 min,"Action, Crime, Drama            ",6.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx9Ha4Q8JbX77MEIQje40SRm6W42GP3WS6Z5DlznUxcNVnt9l8tFfYkoWZJA&s
"Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai",2018,U,147 min,Drama            ,7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW5DvO8Fv4ObDqu-DXbif7AwRL5PwEZqNWtSrl7vLPUbbN-szP0_LfqVIWVQ&s
Raaz: The Mystery Continues,2009,A,151 min,"Horror, Mystery, Romance            ",5.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN5f_b8KEXSvZk_BBO9X54hXctbhOEJKPemRhSpQop9ahM-YaNrWs2dpwSQDE&s
Ram Gopal Varma Ki Aag,2007,A,171 min,"Action, Adventure, Comedy            ",3.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKNHfk63Rj8D5AJsOnk29hEuoDtuuSxv_ykcws-eXYO0hwxFd-HNDJy0JcXA&s
C.I.D.,1956,U,146 min,"Action, Crime, Musical            ",5.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNwQLK3DkS-AR3VgxkwAc1dI7LXsamc6nGaPiYsrl-gGcIyBkqkSTX42oZjw&s
Ballavpur Ki Roopkatha,2017,Not Rated,120 min,Comedy            ,7.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLy30CsDFB5xtRDHkhO4kRtgQp50hXE4XSQiIfu8jwdHLX797jBONbNG71rQ&s
Meow,2021,U,145 min,"Comedy, Drama            ",5.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmSiKLbZ415J4NssB5uvJHh1w8o18WzIsNz6Zmi60rc8VTqLhbuarsY9J5Yg&s
Aa Ab Laut Chalen,1999,U,177 min,"Musical, Romance, Drama            ",5.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa6-qBnceDjTqnx4NZgEGB4ez5DDmxZ_RrD40OtV0nm46vbjCIxpOhvV2ImAc&s
Bahut Hua Sammaan,2020,15+,125 min,"Comedy, Crime, Drama            ",7.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXabrAUfXlwjbFP11EUy-M07fU7yZUBC0S6y1YkOpPjFq92HW_PZu_W_2DODs&s
Oye Lucky! Lucky Oye!,2008,UA,125 min,"Action, Comedy, Crime            ",5.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFyJCq6eHKHnezs8kLv6PszdZaIASeonqi4WhW8rlp3X84i7bxUQhtnSygOK4&s
Remo,2016,U,151 min,"Comedy, Romance            ",6.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReENG0v-x5L4ARaLkIqELW85m-oybh5P-G32AOxmeq8enI3Depuafn1COGA4Y&s
Mayakkam Enna,2011,U,145 min,"Drama, Romance            ",8.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZl_CRKkYKgrXAjiV4xpWB--rRe0xdku4Y_EJWjB8Xda7KZSLuaJvuOQwxOw&s
Khoon Bhari Maang,1988,U,172 min,"Drama, Thriller, Action            ",8.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5UVmJxSRgGWj83GtfYwyErBNAeAPnCd6Ncrvvl-eTh1XynRpkdgSf-ktUGg&s
Ami Thumi,2017,U,125 min,Comedy            ,6.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQpJIT6Hc7ajGG5YWhwoml4S46OHDk7FBxMFW9ISmFjxIs_bfCdVq_Cqv_xg&s
Mafia,2020,UA,113 min,"Action, Crime, Drama            ",6.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMYl14CYfmnN5peobUVfDJoY3C7ZW7S_cqeQIcEIPsCWJ3MDfbyJHxgbtUTw&s
Madhagaja,2021,UA,132 min,"Action, Crime, Thriller            ",7.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD81yLcNwtoYgQgqHs0FP3GFV0BnjMAiF3UBxVXS1zizOucm7C3BDXNPOf1Q&s
Mahanati,2018,U,177 min,"Biography, Drama            ",8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7Mx2VaC0vv8l4eC-2TXFs1xWpE4MzNFIdkxrPBJ-p2lsAXj4MALkvjFrby4s&s
Ladies vs. Ricky Bahl,2011,UA,140 min,"Comedy, Crime, Drama            ",3.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKtAI7RcnEiedp6d7tBTD2DlJigK_UIgs-87eewBeXoMaohE-5q9n7qpPAPw&s
Billu,2009,U,137 min,"Comedy, Drama            ",8.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyoGIYjyFIUWh7jRDRXc4LAExBbx7DmM_8G3zMPyNdF6alYlrWRm1PGb0F9GM&s
Home,2021,U,158 min,Drama            ,5.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8XwKstpg7WTgG302QvI_rKI1l085B4mdtbzC4D_GlL0TV2HB-iXPSpVMQCSk&s
Mere Husband Kee Dulhaniya,2020–,18,28 min,Drama            ,6.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS5FnDRLoO1MvDAM2SasZ5552aPwnMNxXMYNe2VzsPmU3UJjQL2vaj5fOxbw&s
Ennu Ninte Moideen,2015,U,166 min,"Biography, Drama, Romance            ",7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpx1K9jTwkWejXWssElKKXasS49c87FlkjcREkwcNVkTvc9geStv4RL_oWVg&s
36 Farmhouse,2022,UA,107 min,"Comedy, Drama, Mystery            ",6.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOepIpCHhiXt97j9LfN1_HzQN83QgvJlsoGD3ZrJGrtBgc2ffkIeHGuik_DS0&s
Lupt,2018,A,110 min,"Horror, Thriller            ",7.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTi4x4htf-NP7HfoXIsh062jh1fyJBCnHEUksWkHEyJzHihL6gHCQje-crE5M&s
Tagore,2003,U,175 min,"Action, Drama            ",3.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSu4BMsjGYp-nV2u83xmJ3hH6XWuuHNlHZMOnIMyNReUZzIuf2iyfQvvTK2w&s
Pattampoochi,2022,A,134 min,Thriller            ,5.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAFG-vlErODTTuLQN4ylCsdvi3uGBPkVxzKv5mK3WGnxbVCtAAMD69SQm0mB4&s
Durgamati: The Myth,2020,16,155 min,"Horror, Thriller            ",5.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcodcaMhJwijKHqYsX4xmV-F-CMxQs4WKgqwwaiPIBZToCEv_PR6gwMVE7-Hs&s
Mahabharat,2013,U,105 min,"Animation, Action, Adventure            ",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpT4kMPWBv_URoYEv6dlxcWHtMKsgE47T-N_bCaeeQlvxbmj-5AXnYCn6-CA&s
Aakrosh,2010,A,146 min,"Action, Crime, Drama            ",7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNA9UF6uXn_Ayam97Xhm0XqZxU50tspyj_3mPv2HODUQDwXAVdhkVkP87xaA&s
Premam Poojyam,2021,UA,173 min,Romance            ,5.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoUbuMxhJGbG8FZoDz9RX4vXZr17B5JdphVbeMnq_-h22ni_-IQ5mQ-lcTtoc&s
